Need,Deft
Delete,Impose
NeedDelete,DeftImpose
is,So
Test,Tune
isTest,SoTune
Keys,Wary
target,Seldom
Click,Flute
Btn,Via
ClickBtn,FluteVia
corners,Kinship
center,Indium
radius,Hollow
material,Titanium
current,Loyally
Radius,Breach
currentRadius,LoyallyBreach
shrink,Mainly
Time,Port
shrinkTime,MainlyPort
event,Chunk
Penetrate,Aesthetic
eventPenetrate,ChunkAesthetic
Velocity,Magnetic
shrinkVelocity,MainlyMagnetic
Image,Knife
targetImage,SeldomKnife
Text,Tear
Offset,Brutal
targetOffsetX,SeldomBrutalX
targetOffsetY,SeldomBrutalY
currentOffsetX,LoyallyBrutalX
currentOffsetY,LoyallyBrutalY
Currentindex,Musicologist
shrinkVelocityX,MainlyMagneticX
shrinkVelocityY,MainlyMagneticY
Chapter,Traffic
Count,Extol
ChapterCount,TrafficExtol
Change,Factor
Clear,Virgo
Block,Hardy
Stage,Share
ChangeClearBlockStage,FactorVirgoHardyShare
ClearBlock,VirgoHardy
Target,Cobalt
Fly,Elk
TargetBlockFly,CobaltHardyElk
Wheel,Bowel
Reward,Mortal
WheelReward,BowelMortal
Scratchcard,Incorrectly
ScratchcardReward,IncorrectlyMortal
Source,Backup
SourceReward,BackupMortal
Game,When
Failed,Lethal
GameFailed,WhenLethal
Success,Iceberg
GameSuccess,WhenIceberg
accumulate,Philosophy
accumulateCount,PhilosophyExtol
Cur,Pry
Complete,Homeless
Word,Epic
CurCompleteWord,PryHomelessEpic
Sch,Lop
CurChapterSch,PryTrafficLop
Total,Early
CurTotalChapter,PryEarlyTraffic
Have,Care
Scratch,Company
Card,Scat
isHaveScratchCard,SoCareCompanyScat
isHaveScratchReward,SoCareCompanyMortal
isHaveWheel,SoCareBowel
isHaveSource,SoCareBackup
Schedule,Overtime
next,File
Step,Save
nextStep,FileSave
_nextStep,_FileSave
finish,Finish
Call,Weft
Back,Good
finishCallBack,FinishWeftGood
_finishCallBack,_FinishWeftGood
ready,Vapor
today,Fault
Once,Mere
OnceSource,MereBackup
Mental,Attach
MentalRewardID,AttachMortalID
TotalMental,EarlyAttach
Data,Gaze
One,Dam
OneReward,DamMortal
Two,Hue
TwoReward,HueMortal
Three,Dutch
ThreeReward,DutchMortal
Four,Slit
FourReward,SlitMortal
Info,Coma
Objs,Clue
RewardInfoObjs,MortalComaClue
Select,Chorus
Day,Yam
SelectDaySchImage,ChorusYamLopKnife
Spine,Begin
Ani,Sun
SpineAni,BeginSun
SelectDaySchText,ChorusYamLopTear
Dic,Say
SelectDaySchDicText,ChorusYamLopSayTear
BlockBtn,HardyVia
Widget,Lizard
Obj,Put
MentalWidgetObj,AttachLizardPut
scroll,Friend
Rect,Main
scrollRect,FriendMain
select,Parrot
Int,Win
selectInt,ParrotWin
Ad,By
AdBtn,ByVia
Normal,Expert
NormalBtn,ExpertVia
Cash,Hurl
CashText,HurlTear
SchText,LopTear
Tittle,Toward
TittleText,TowardTear
Little,Memory
LittleSchText,MemoryLopTear
SchImage,LopKnife
SchTwoImage,LopHueKnife
CashImage,HurlKnife
Coin,Luce
CoinImage,LuceKnife
Value,Seedy
Top,Wax
TopImage,WaxKnife
Bottom,Domain
BottomImage,DomainKnife
Start,Sewer
StartSpine,SewerBegin
Otherfinish,Grammatical
Slot,Blip
List,Name
SlotBlockList,BlipHardyName
BlockList,HardyName
AD,AD
BlockList_AD,HardyName_AD
Scale,Habit
TimeScale,PortHabit
Double,Ethnic
DoubleBtn,EthnicVia
Receive,Conquer
ReceiveBtn,ConquerVia
Loops,Scout
Box,Fen
BoxSpine,FenBegin
Bar,Mud
RewardBar,MortalMud
show,Lint
showList,LintName
RewardText,MortalTear
SlotObjs,BlipClue
End,Rye
EndRewardText,RyeMortalTear
CoinText,LuceTear
CoinTF,LuceTF
CashTF,HurlTF
value,Style
info,Hear
Multiplier,Militarily
ui,No
Element,Removal
uiElement,NoRemoval
control,Plummet
Point,Spend
controlPoint,PlummetSpend
duration,Electric
t,t
Free,Warm
Spin,Moss
FreeSpinBtn,WarmMossVia
RewardObjs,MortalClue
WheelObj,BowelPut
Effect,Puffin
EffectObj,PuffinPut
WheelSpineAni,BowelBeginSun
rewards,Vestige
Get,His
Type,Well
GetRewardType,HisMortalWell
spin,Wood
Counts,Shaper
spinCounts,WoodShaper
Show,Ford
ShowList,FordName
Gold,From
Button,Proton
GoldButton,FromProton
Token,Meter
TokenBtn,MeterVia
Next,Dirt
NextBtn,DirtVia
FailedBtn,LethalVia
Challenge,Swordfish
Retay,Creep
ChallengeRetayBtn,SwordfishCreepVia
Home,Find
HomeBtn,FindVia
SuccessRewardImage,IcebergMortalKnife
SuccessRewardText,IcebergMortalTear
Slider,Mildly
BoxRewardSlider,FenMortalMildly
BoxRewardSchObj,FenMortalLopPut
TargetObjs,CobaltClue
Best,Lime
ChallengeBestSourceText,SwordfishLimeBackupTear
CurChallengeSourceText,PrySwordfishBackupTear
CurChallengeSourceTwoText,PrySwordfishBackupHueTear
BestChallengeSourceTwoText,LimeSwordfishBackupHueTear
Rewad,Close
ChallengeRewadImage,SwordfishCloseKnife
Rewed,Style
ChallengeRewedText,SwordfishRewedTear
FX,FX
FX_Challenge,FX_Swordfish
Fire,Four
Work,Arab
FireWork,FourArab
FX_FireWork,FX_FourArab
RewardChallengeCash,MortalSwordfishHurl
Group,Giant
PBGroup,PBGiant
Ancu,Bake
Scene,Pupil
Mask,Five
ChangeSceneMask,FactorPupilFive
TopBar,WaxMud
type,Whip
BlockGroupObjs,HardyGiantClue
Combo,Block
Item,Bath
ComboItem,BlockBath
SourceItem,BackupBath
Check,Route
Board,Novel
CheckBoardGroup,RouteNovelGiant
GameBoard,WhenNovel
BlockSP,HardySP
More,Toad
MoreClear,ToadVirgo
ComboSpine,BlockBegin
TargetBarObj,CobaltMudPut
SourceBarObj,BackupMudPut
Cue,Gel
CueSourceText,GelBackupTear
Max,Ute
MaxSourceText,UteBackupTear
Guide,Quilt
GuideSpine,QuiltBegin
MaskObj,FivePut
ClearSpineRect,VirgoBeginMain
Square,Gender
ClearSpineSquare,VirgoBeginGender
time,Heal
isStart,SoSewer
Setting,Forever
SettingBtn,ForeverVia
Brain,Fatty
BrainBtn,FattyVia
TargetList,CobaltName
Level,Crude
Over,Rote
LevelOverSpine,CrudeRoteBegin
Airwall,Dolphin
LevelStart,CrudeSewer
Right,Cliff
WheelRightImage,BowelCliffKnife
WheelReward1,BowelMortal1
WheelReward2,BowelMortal2
BrainImage,FattyKnife
Progress,Regional
BrainProgressText,FattyRegionalTear
